INFO: text_id: D1801   uid: 761865184fef42ecb970b238310418dd
INFO: text_id: D1803   uid: 388fc04dcd9442089f81d61381646902
INFO: text_id: D1804   uid: b0f7190a3aa54e1dac50867cbb41462a
INFO: text_id: D1805   uid: e92be82aaf714b8aa2aca9137c340b79
INFO: text_id: D1806   uid: 40020dbc5b724fdb91a923a7604755e5
INFO: text_id: D1807   uid: e5433fc2e8454cd08e16bf65c6a82fc9
INFO: text_id: D1808   uid: 5db92bc4cf85493891516f06308425b8
INFO: text_id: D1809   uid: 3fafc2f93237431597327a0e73b47657
INFO: text_id: D1811   uid: 814738aa466a4d36b6bb741ef35bdb0f
INFO: text_id: D1812   uid: ac3aa6d3080d4a59bb986e65aa70033a
INFO: text_id: D1814   uid: c2d07f6a5bce4dfc95635eb663758149
INFO: text_id: D1817   uid: 22c8acd8ec3244cb879b37e5e12a8d05
INFO: text_id: D1838   uid: 4ce435190cd14e8c87d0feacc9b10ce8
INFO: text_id: D1865   uid: 2cde8b15d8d44040b452fb548cbb978c
INFO: text_id: D1892   uid: 0d30a619b4c04a2787921a5087b69e85
INFO: text_id: D1893   uid: 4dbc203ab7204880b1302cd9a8e679a1
INFO: text_id: D1894   uid: 1c4f924bb1eb48c1b9b5c66e6414a6dd
INFO: text_id: D1928   uid: d7fb943f96184b35b2070ef7cb413e90
INFO: text_id: D1937   uid: 7ece5e20bef449ccb8532a99269bd786
INFO: text_id: D1938   uid: 0c795be92046422e8ce9144ebf8525e7
INFO: text_id: D1939   uid: ceb85ac277854aebbb76fe1e0d71afa1
INFO: text_id: D1940   uid: 494429bf41b1409c96a47aac0e37d692
INFO: text_id: D1941   uid: a4ab63d3b4ec40a98909f9434c5e561b
INFO: text_id: D1943   uid: dc89af3e3d0e48a2a6a57ffbece1ebf9
INFO: text_id: D1944   uid: 00ad66b9adb6477cb9e2630ea674dd42
INFO: text_id: D1948   uid: 1e408a982b01493e8dd04c79007493b5
INFO: text_id: D1949   uid: 4a2ff59bb917435699f656239d6ae30c
INFO: text_id: D1950   uid: 4017773e444a45058f4a0000569ed182
INFO: text_id: D1951   uid: bdd44f40f1974ad4bdb211648f07377c
INFO: text_id: D2190   uid: f4af7d3cc14240feb217567a69429fb4
INFO: text_id: D2191   uid: a37e506c1fbe463c9fd0c93f9c8c33b7
INFO: text_id: D2204   uid: 511c3885de0d45ea8f6e8061d6b2b593
INFO: text_id: D2205   uid: c008d390803d4001a829b36188ef8751
INFO: text_id: D2206   uid: d8a57dce208445099ddf5f5bcfb59b46
INFO: text_id: D2207   uid: 2f7c5a20fdda4d9eaecbe30aa6376555
INFO: text_id: D2213   uid: f8629cda0c8342fb984bb3d628cf2dd5
INFO: text_id: D2225   uid: 28ad9291c0db41c6995a22099552c227
INFO: text_id: D2248   uid: 25f87cfb1d124d679d29a7bcc5d2a9fc
INFO: text_id: D2277   uid: bfe03b71e92045cbba380e089bbf243c
INFO: text_id: D2279   uid: 3119f6caa566479fa9bce7aa5627b65f
INFO: text_id: D2313   uid: 36a5075d89d74a0cb076951af1bfb59b
INFO: text_id: D2314   uid: 51aa079bead94f25b4b24372b669929e
INFO: text_id: D2315   uid: d2471a4d7b694ad08c58860dc7cbf5e2
INFO: text_id: D2316   uid: 22d5f2e7ce4b42308e7cb6ea45fc5822
INFO: text_id: D2317   uid: 1eba8d0668a9474aa710cb65a190e3f9
INFO: text_id: D2318   uid: e38e31947c264e7e9f29c0e3a81f39ba
INFO: text_id: D2319   uid: 49f5ff787ff14ed09bfd71aa4d31d510
INFO: text_id: D2320   uid: 83c77e69ad874160ac2f3f8fd74eb0a6
INFO: text_id: D2321   uid: 82d531c4f66c435eb23028beb93293d6
INFO: text_id: D2322   uid: 900927d472994c238d8ec05c8827840d
INFO: text_id: D2323   uid: 91d250eb12534ebf8b9362cbd5683010
INFO: text_id: D2324   uid: fbffc990653848c194f66bf9fda2be31
INFO: text_id: D2325   uid: b7442f367d8b4fc0af76d8aa1a430bb8
INFO: text_id: D2326   uid: 24f7a0ea52594d668e9c3b25dedab9f4
INFO: text_id: D2327   uid: 208b4629879545c78a7cfd4a3727df16
INFO: text_id: D2328   uid: ad7673a8cfc34062acf5de3c733d0b7d
INFO: text_id: D2341   uid: 22852ae9d03c45e399d94b395231909e
INFO: text_id: D2373   uid: f63d51533d4a4da29429e71246b6b388
INFO: text_id: D2382   uid: c936f9318304432e94810575cf57eff4
INFO: text_id: D2444   uid: 317e5bebc0ea4980a3915d1b18225814
INFO: text_id: D2457   uid: 999f66bc111e4bf0b1d9ae6514084782
INFO: text_id: D2461   uid: d8e5d596d7024a9984668880ea9a3516
INFO: text_id: D2473   uid: b7bac0b36d3b486b9e5a6e198eb611d1
INFO: text_id: D2481   uid: bf8e08da42e441b290a4013598ed0c85
INFO: text_id: D2482   uid: bad23bff7daf4b25b5e0f246bacdd619
INFO: text_id: D2487   uid: 2d41a4279e694a33923c8c491efc7f16
INFO: text_id: D2496   uid: 5896bbf6ea2c4803a379467cd947569c
INFO: text_id: D2508   uid: f4d3ab6d5f8242958f5008bee2d20318
INFO: text_id: D2591   uid: 2d3bdce3839e44fd9e66a1d9b7a9cb50
INFO: text_id: D2637   uid: fd9f826f712b43a0b50e585567d7161d
INFO: text_id: D2640   uid: b6b962b0564f44098351d5798e4d2f34
INFO: text_id: D2653   uid: 8a757f4771f843458b2706541b729a23
